playerID,yearID,stint,teamID,lgID,G,G_batting,AB,R,H,DB,TR,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
alomaro01,1996,1,BAL,AL,153,,588,132,193,0,0,22,94,17,6,90,65,10,1,8,12,14
alomaro01,1997,1,BAL,AL,112,,412,64,137,0,0,14,60,9,3,40,43,2,3,7,7,10
alomaro01,1999,1,CLE,AL,159,,563,138,182,0,0,24,120,37,6,99,96,3,7,12,13,13
alomaro01,2000,1,CLE,AL,155,,610,111,189,0,0,19,89,39,4,64,82,4,6,11,6,19
alomaro01,2001,1,CLE,AL,157,,575,113,193,0,0,20,100,30,6,80,71,5,4,9,9,9
alomaro01,2004,1,ARI,NL,38,,110,14,34,0,0,3,16,0,2,12,18,0,1,2,0,2
alomasa01,1970,1,LAA,AL,162,,672,82,169,0,0,2,36,35,12,49,65,2,1,11,2,7
alomasa01,1971,1,LAA,AL,162,,689,77,179,0,0,4,42,39,10,41,60,4,0,7,2,7
alomasa02,1997,1,CLE,AL,125,,451,63,146,0,0,21,83,0,2,19,48,2,3,6,1,16
alomasa02,1999,1,CLE,AL,37,,137,19,42,0,0,6,25,0,1,4,23,0,0,1,2,1
alomasa02,2006,1,LAN,NL,27,,62,3,20,0,0,0,9,0,0,0,7,0,0,0,0,3
alonspe01,2019,1,NYN,NL,161,,597,103,155,0,0,53,120,1,0,72,183,6,21,0,3,13
alonspe01,2021,1,NYN,NL,152,,561,81,147,0,0,37,94,3,0,60,127,6,12,0,4,20
alonspe01,2022,1,NYN,NL,160,,597,95,162,0,0,40,131,5,1,67,128,16,12,0,9,17
alonsyo01,2011,1,CIN,NL,47,,88,9,29,0,0,5,15,0,0,10,21,0,0,0,0,2
aloufe01,1962,1,SFN,NL,154,,561,96,177,0,0,25,98,10,7,33,66,2,5,2,5,4
aloufe01,1966,1,ATL,NL,154,,666,122,218,0,0,31,74,5,7,24,51,6,12,2,2,11
aloufe01,1968,1,ATL,NL,160,,662,72,210,0,0,11,57,12,11,48,56,14,4,0,4,10
alouje01,1970,1,HOU,NL,117,,458,59,140,0,0,1,44,3,2,21,15,4,1,3,4,15
alouje01,1972,1,HOU,NL,52,,93,8,29,0,0,0,11,0,2,7,5,4,1,1,0,3
alouje01,1973,2,OAK,AL,36,,108,10,33,0,0,1,11,0,0,2,6,1,0,1,0,2
alouje01,1978,1,HOU,NL,77,,139,7,45,0,0,2,19,0,0,6,5,1,0,4,3,4
alouma01,1961,1,SFN,NL,81,,200,38,62,0,0,6,24,3,2,15,18,2,0,1,1,4
alouma01,1966,1,PIT,NL,141,,535,86,183,0,0,2,27,23,15,24,44,4,4,12,3,3
alouma01,1967,1,PIT,NL,139,,550,87,186,0,0,2,28,16,10,24,42,1,6,3,1,3
alouma01,1968,1,PIT,NL,146,,558,59,185,0,0,0,52,18,10,27,26,6,2,7,4,10
alouma01,1969,1,PIT,NL,162,,698,105,231,0,0,1,48,22,8,42,35,9,2,1,3,5
alouma01,1970,1,PIT,NL,155,,677,97,201,0,0,1,47,19,11,30,18,3,4,4,3,9
alouma01,1971,1,SLN,NL,149,,609,85,192,0,0,7,74,19,10,34,27,3,4,6,7,9
alouma01,1972,1,SLN,NL,108,,404,46,127,0,0,3,31,11,4,24,23,2,1,1,1,12
aloumo01,1994,1,WAS,NL,107,,422,81,143,0,0,22,78,7,6,42,63,10,2,0,5,7
aloumo01,1997,1,MIA,NL,150,,538,88,157,0,0,23,115,9,5,70,85,9,4,0,7,13
aloumo01,1998,1,HOU,NL,159,,584,104,182,0,0,38,124,11,3,84,87,11,5,0,6,14
aloumo01,2000,1,HOU,NL,126,,454,82,161,0,0,30,114,3,3,52,45,4,2,0,9,21
aloumo01,2001,1,HOU,NL,136,,513,79,170,0,0,27,108,5,1,57,57,14,3,0,8,18
aloumo01,2004,1,CHN,NL,155,,601,106,176,0,0,39,106,3,0,68,80,2,0,0,6,12
aloumo01,2005,1,SFN,NL,123,,427,67,137,0,0,19,63,5,1,56,43,1,3,0,4,11
aloumo01,2006,1,SFN,NL,98,,345,52,104,0,0,22,74,2,1,28,31,2,1,0,4,15
aloumo01,2007,1,NYN,NL,87,,328,51,112,0,0,13,49,3,0,27,30,5,2,0,3,13
altmage01,1961,1,CHN,NL,138,,518,77,157,0,0,27,96,6,2,40,92,3,4,4,7,4
altmage01,1962,1,CHN,NL,147,,534,74,170,0,0,22,74,19,7,62,89,14,5,0,2,8
altuvjo01,2012,1,HOU,NL,147,,576,80,167,0,0,7,37,33,11,40,74,0,6,4,4,8
altuvjo01,2013,1,HOU,AL,152,,626,64,177,0,0,5,52,35,13,32,85,5,2,4,8,24
altuvjo01,2014,1,HOU,AL,158,,660,85,225,0,0,7,59,56,9,36,53,7,5,1,5,20
altuvjo01,2015,1,HOU,AL,154,,638,86,200,0,0,15,66,38,13,33,67,8,9,3,6,17
altuvjo01,2016,1,HOU,AL,161,,640,108,216,0,0,24,96,30,10,60,70,11,7,3,7,15
altuvjo01,2017,1,HOU,AL,153,,590,112,204,0,0,24,81,32,6,58,84,3,9,1,4,19
altuvjo01,2018,1,HOU,AL,137,,534,84,169,0,0,13,61,17,4,55,79,4,6,3,1,17
altuvjo01,2019,1,HOU,AL,124,,500,89,149,0,0,31,74,6,5,41,82,0,3,1,3,19
altuvjo01,2021,1,HOU,AL,146,,601,117,167,0,0,31,83,5,3,66,91,3,4,1,6,9
alvarpe01,2013,1,PIT,NL,152,,558,70,130,0,0,36,100,2,0,48,186,7,4,0,4,16
alvaryo01,2019,1,HOU,AL,87,,313,58,98,0,0,27,78,0,0,52,94,4,2,0,2,9
alvaryo01,2021,1,HOU,AL,144,,537,92,149,0,0,33,104,1,0,50,145,3,8,0,3,16
alvaryo01,2022,1,HOU,AL,135,,470,95,144,0,0,37,97,1,1,78,106,9,6,0,7,12
amaroru02,1996,1,PHI,NL,61,,117,14,37,0,0,2,15,0,0,9,18,0,3,1,0,3
anderbr01,1992,1,BAL,AL,159,,623,100,169,0,0,21,80,53,16,98,98,14,9,10,9,2
anderbr01,1994,1,BAL,AL,111,,453,78,119,0,0,12,48,31,1,57,75,3,10,3,2,7
anderbr01,1996,1,BAL,AL,149,,579,117,172,0,0,50,110,21,8,76,106,1,22,6,4,11
anderbr01,1999,1,BAL,AL,150,,564,109,159,0,0,24,81,36,7,96,105,7,24,1,7,6
anderda02,1990,1,SFN,NL,60,,100,14,35,0,0,1,6,1,2,3,20,0,0,1,0,2
anderga01,1995,1,LAA,AL,106,,374,50,120,0,0,16,69,6,2,19,65,4,1,2,4,8
anderga01,1997,1,LAA,AL,154,,624,76,189,0,0,8,92,10,4,30,70,6,2,1,5,20
anderga01,1999,1,LAA,AL,157,,620,88,188,0,0,21,80,3,4,34,81,8,0,0,6,15
anderga01,2000,1,LAA,AL,159,,647,92,185,0,0,35,117,7,6,24,87,5,0,1,9,21
anderga01,2001,1,LAA,AL,161,,672,83,194,0,0,28,123,13,6,27,100,4,0,0,5,12
anderga01,2002,1,LAA,AL,158,,638,93,195,0,0,29,123,6,4,30,80,11,0,0,10,11
anderga01,2003,1,LAA,AL,159,,638,80,201,0,0,29,116,6,3,31,83,10,0,0,4,15
anderjo03,2007,1,HOU,NL,21,,67,10,24,0,0,0,11,1,1,5,6,0,2,0,1,0
anderke01,1990,1,LAA,AL,49,,143,16,44,0,0,1,5,0,2,13,19,1,1,4,0,4
anderma02,2006,2,LAN,NL,25,,64,12,24,0,0,7,15,2,2,7,8,0,0,1,1,3
anderma02,2007,2,NYN,NL,43,,69,14,22,0,0,3,25,3,1,5,12,1,0,1,2,2
anderti01,2019,1,CHA,AL,123,,498,81,167,0,0,18,56,17,5,15,109,0,3,0,2,12
anderti01,2020,1,CHA,AL,49,,208,45,67,0,0,10,21,5,2,10,50,0,2,0,1,4
anderti01,2021,1,CHA,AL,123,,527,94,163,0,0,17,61,18,7,22,119,1,1,0,1,5
anderti01,2022,1,CHA,AL,79,,332,50,100,0,0,6,25,13,0,14,55,1,5,0,0,10
andruel01,2009,1,TEX,AL,145,,480,72,128,0,0,6,40,33,6,40,77,0,6,12,3,4
andruel01,2010,1,TEX,AL,148,,588,88,156,0,0,0,35,32,15,64,96,0,5,17,0,6
andruel01,2011,1,TEX,AL,150,,587,96,164,0,0,5,60,37,12,56,74,0,5,16,1,17
andruel01,2013,1,TEX,AL,156,,620,91,168,0,0,4,67,42,8,52,97,1,4,16,6,19
andruel01,2016,1,TEX,AL,147,,506,75,153,0,0,8,69,24,8,47,70,2,4,4,7,18
andruel01,2019,1,TEX,AL,147,,600,81,165,0,0,12,72,31,8,34,96,1,4,0,10,16
aparilu01,1959,1,CHA,AL,152,,612,98,157,0,0,6,51,56,13,53,40,1,3,11,7,11
aparilu01,1960,1,CHA,AL,153,,600,86,166,0,0,2,61,51,8,43,39,3,1,20,6,12
aparilu01,1961,1,CHA,AL,156,,625,90,170,0,0,6,45,53,13,38,33,0,1,4,4,12
aparilu01,1962,1,CHA,AL,153,,581,72,140,0,0,7,40,31,12,32,36,1,1,4,4,11
aparilu01,1963,1,BAL,AL,146,,601,73,150,0,0,5,45,40,6,36,35,2,2,6,6,10
aparilu01,1964,1,BAL,AL,146,,578,93,154,0,0,10,37,57,17,49,51,0,3,7,5,13
aparilu01,1970,1,CHA,AL,146,,552,86,173,0,0,5,43,8,3,53,34,1,1,5,5,11
applilu01,1933,1,CHA,AL,151,,612,90,197,0,0,6,85,6,11,56,29,,0,2,,
applilu01,1934,1,CHA,AL,118,,452,75,137,0,0,2,61,3,1,59,27,,0,5,,
