playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA
alberma01,2015,1,CHA,AL,2,0,30,0,0,0,0,112,31,5,3,9,28,0.228,1.21
alberma01,2017,1,WAS,NL,7,2,63,0,0,0,2,183,35,11,6,17,63,0.166,1.62
albural01,2011,1,DET,AL,6,1,41,0,0,0,0,130,21,9,0,29,67,0.142,1.87
albural01,2014,1,DET,AL,3,1,72,0,0,0,1,172,46,16,7,21,63,0.219,2.51
alburvi01,1973,1,MIN,AL,1,0,14,0,0,0,0,70,13,7,1,19,13,0.169,2.7
alcaljo01,2020,1,MIN,AL,2,1,16,0,0,0,0,72,21,7,3,8,27,0.244,2.63
alcansa01,2020,1,MIA,NL,3,2,7,7,0,0,0,126,35,14,4,15,39,0.226,3.0
alcansa01,2021,1,MIA,NL,9,15,33,33,1,0,0,617,171,73,21,50,201,0.223,3.19
alcansa01,2022,1,MIA,NL,14,9,32,32,6,1,0,686,174,58,16,50,207,0.212,2.28
alexado01,1972,1,BAL,AL,6,8,35,9,2,2,2,319,78,29,5,30,49,0.203,2.45
alexado01,1981,1,SFN,NL,11,7,24,24,1,1,0,457,156,49,11,44,77,0.263,2.89
alexado01,1987,2,DET,AL,9,0,11,11,3,3,0,265,63,15,3,26,44,0.201,1.53
alexape01,1911,1,PHI,NL,28,13,48,37,31,7,3,1101,285,105,5,129,227,0.21,2.57
alexape01,1912,1,PHI,NL,19,17,46,34,25,3,3,931,289,97,11,105,195,0.25,2.81
alexape01,1913,1,PHI,NL,22,8,47,36,23,9,2,919,288,95,9,75,159,0.25,2.79
alexape01,1914,1,PHI,NL,27,15,46,39,32,6,1,1065,327,94,8,76,214,0.24,2.38
alexape01,1915,1,PHI,NL,31,10,49,42,36,12,3,1129,253,51,3,64,241,0.19,1.22
alexape01,1916,1,PHI,NL,33,12,48,45,38,16,3,1167,323,67,6,50,167,0.23,1.55
alexape01,1917,1,PHI,NL,30,13,45,44,34,8,0,1164,336,79,4,56,200,0.23,1.83
alexape01,1918,1,CHN,NL,2,1,3,3,3,0,0,78,19,5,0,3,15,0.2,1.73
alexape01,1919,1,CHN,NL,16,11,30,27,20,9,1,705,180,45,3,38,121,0.21,1.72
alexape01,1920,1,CHN,NL,27,14,46,40,33,7,5,1090,335,77,8,69,173,0.24,1.91
alexape01,1923,1,CHN,NL,22,12,39,36,26,3,2,915,308,108,17,30,72,0.25,3.19
alexape01,1926,2,SLN,NL,9,7,23,16,11,2,2,445,136,48,8,24,35,0.24,2.91
alexape01,1927,1,SLN,NL,21,10,37,30,22,2,3,804,261,75,11,38,48,0.25,2.52
alexasc01,2017,1,KCR,AL,5,4,58,0,0,0,4,207,62,19,3,28,59,0.246,2.48
alexasc01,2022,1,SFN,NL,0,0,17,4,0,0,2,52,12,2,1,1,10,0.194,1.04
alfonan01,2000,1,MIA,NL,5,6,68,0,0,0,45,210,82,33,7,24,47,0.291,4.24
alfonan01,2004,1,ATL,NL,6,4,79,0,0,0,0,221,71,21,5,28,45,0.255,2.57
allenbo04,1967,1,CLE,AL,0,5,47,0,0,0,5,163,49,18,4,25,50,0.24,2.98
allenco01,2013,1,CLE,AL,6,1,77,0,0,0,2,211,62,19,7,26,88,0.233,2.43
allenco01,2014,1,CLE,AL,6,4,76,0,0,0,24,209,48,16,7,26,91,0.194,2.07
allenco01,2015,1,CLE,AL,2,5,70,0,0,0,34,208,56,23,2,25,99,0.219,2.99
allenco01,2016,1,CLE,AL,3,5,67,0,0,0,32,204,41,19,8,27,87,0.177,2.51
allenco01,2017,1,CLE,AL,3,7,69,0,0,0,30,202,57,22,9,21,92,0.221,2.94
allenjo02,1934,1,NYA,AL,5,2,13,10,4,0,0,215,62,23,3,32,54,0.22,2.89
allenjo02,1936,1,CLE,AL,20,10,36,31,19,4,1,729,234,93,5,97,165,0.25,3.44
allenjo02,1937,1,CLE,AL,15,1,24,20,14,0,0,519,157,49,4,60,87,0.24,2.55
allenjo02,1941,2,LAN,NL,3,0,11,4,1,0,0,172,38,16,6,12,21,0.18,2.51
allenll01,1970,1,LAA,AL,1,1,8,2,0,0,0,72,23,7,0,11,12,0.261,2.63
allenll01,1971,1,LAA,AL,4,6,54,1,0,0,15,282,75,26,4,40,72,0.221,2.49
allenne01,1981,1,NYN,NL,7,6,43,0,0,0,18,200,64,22,4,26,50,0.259,2.97
allenne01,1985,2,NYA,AL,1,0,17,0,0,0,1,88,26,9,1,13,16,0.234,2.76
alomalu01,1951,1,CHA,AL,6,0,25,1,1,1,3,208,52,14,3,24,25,0.21,1.82
altavda01,2018,1,SEA,AL,3,2,22,0,0,0,0,62,11,6,2,15,23,0.162,2.61
alvarhe01,2014,1,MIA,NL,12,7,30,30,3,3,0,561,198,55,14,33,111,0.275,2.65
alvarjo01,1988,1,ATL,NL,5,6,60,0,0,0,3,307,88,34,7,53,81,0.24,2.99
alvarjo01,1989,1,ATL,NL,3,3,30,0,0,0,2,151,44,16,4,24,45,0.237,2.86
alvarjo02,2018,1,LAA,AL,6,4,76,0,0,0,1,189,51,19,3,22,59,0.217,2.71
alvarjo02,2021,1,SFN,NL,5,2,67,1,0,0,0,194,53,17,2,19,42,0.217,2.37
alvarjo03,2018,1,TBA,AL,1,6,70,0,0,0,8,192,42,17,1,29,80,0.183,2.39
alvarwi01,1993,1,CHA,AL,15,8,31,31,1,1,0,623,168,68,14,122,155,0.23,2.95
alvarwi01,2003,1,LAN,NL,6,2,21,12,1,1,1,285,80,25,5,23,82,0.231,2.37
alzolad01,2020,1,CHN,NL,1,1,6,4,0,0,0,64,12,7,1,13,29,0.169,2.95
anderal02,1988,1,MIN,AL,16,9,30,30,3,1,0,607,199,55,14,37,83,0.261,2.45
anderbr04,2010,1,OAK,AL,7,6,19,19,0,0,0,337,112,35,6,22,75,0.257,2.8
anderbr04,2012,1,OAK,AL,4,2,6,6,0,0,0,105,29,10,1,7,25,0.225,2.57
anderbr04,2014,1,COL,NL,1,3,8,8,0,0,0,130,44,14,1,13,29,0.267,2.91
anderch01,2017,1,MIL,NL,12,4,25,25,0,0,0,424,113,43,14,41,133,0.22,2.74
anderia01,2020,1,ATL,NL,3,2,6,6,0,0,0,97,21,7,1,14,41,0.172,1.95
anderla02,1981,1,SEA,AL,3,3,41,0,0,0,5,203,57,20,4,18,40,0.228,2.66
anderla02,1983,1,PHI,NL,1,0,17,0,0,0,0,79,19,7,0,9,14,0.2,2.39
anderla02,1984,1,PHI,NL,3,7,64,0,0,0,4,272,85,24,5,25,54,0.248,2.38
anderla02,1986,2,HOU,NL,2,1,38,0,0,0,1,194,64,20,2,23,33,0.276,2.78
anderla02,1988,1,HOU,NL,2,4,53,0,0,0,5,248,82,27,3,20,66,0.254,2.94
anderla02,1989,1,HOU,NL,4,4,60,0,0,0,3,263,63,15,2,24,85,0.198,1.54
anderla02,1990,1,HOU,NL,5,2,50,0,0,0,6,221,61,16,2,24,68,0.229,1.95
anderla02,1990,2,BOS,AL,0,0,15,0,0,0,1,66,18,3,0,3,25,0.22,1.23
anderla02,1991,1,SDN,NL,3,4,38,0,0,0,13,141,39,12,0,13,40,0.232,2.3
anderla02,1993,1,PHI,NL,3,2,64,0,0,0,0,185,54,20,4,21,67,0.233,2.92
anderni01,2019,2,TBA,AL,3,0,23,0,0,0,0,64,12,5,3,2,41,0.16,2.11
anderty01,2022,1,LAN,NL,15,5,30,28,0,0,0,536,145,51,14,34,138,0.221,2.57
andreiv01,1932,1,NYA,AL,2,1,4,1,1,0,0,74,20,5,0,9,7,0.21,1.82
andreiv01,1938,1,NYA,AL,1,3,19,1,1,0,1,144,51,16,3,17,13,0.26,3.0
andrena01,1943,1,ATL,NL,14,20,36,34,23,3,0,851,253,81,11,75,80,0.23,2.57
andujjo01,1982,1,SLN,NL,15,10,38,37,9,5,0,797,237,73,11,50,137,0.24,2.47
andujjo01,1984,1,SLN,NL,20,14,36,36,12,4,0,784,218,97,20,70,147,0.229,3.34
andujjo01,1985,1,SLN,NL,21,12,38,38,10,2,0,809,265,102,15,82,112,0.26,3.4
antonjo02,1954,1,SFN,NL,21,7,39,37,18,6,2,776,209,66,22,94,152,0.21,2.3
antonjo02,1956,1,SFN,NL,20,13,41,36,15,5,1,775,225,82,20,75,145,0.23,2.86
apodabo01,1975,1,NYN,NL,3,4,46,0,0,0,13,254,66,14,4,28,45,0.222,1.49
apodabo01,1976,1,NYN,NL,3,7,43,3,0,0,5,269,71,28,4,29,45,0.223,2.81
appieke01,1990,1,KCR,AL,12,8,32,24,3,3,0,557,179,57,13,54,127,0.252,2.76
appieke01,1992,1,KCR,AL,15,8,30,30,3,0,0,625,167,57,10,68,150,0.217,2.46
appieke01,1993,1,KCR,AL,18,8,34,34,5,1,0,716,183,68,8,81,186,0.212,2.56
appieke01,1996,1,KCR,AL,14,11,32,32,5,1,0,634,192,85,17,75,207,0.245,3.62
applepe01,1927,1,CIN,NL,2,1,6,2,2,1,0,89,29,6,0,17,3,0.26,1.82
applepe01,1942,2,BAL,AL,1,1,14,0,0,0,2,82,25,9,1,11,12,0.24,2.96
aquinlu01,1988,1,KCR,AL,1,0,7,5,1,1,0,87,33,9,1,17,11,0.284,2.79
archech01,2015,1,TBA,AL,12,13,34,34,1,1,0,636,175,76,19,66,252,0.22,3.23
archech01,2016,1,TBA,AL,9,19,33,33,0,0,0,604,183,90,30,67,233,0.238,4.02
archech01,2017,1,TBA,AL,10,12,34,34,0,0,0,603,193,91,27,60,249,0.246,4.07
armasto02,2003,1,WAS,NL,2,1,5,5,0,0,0,93,25,9,4,8,23,0.225,2.61
arnsbbr01,1990,1,TEX,AL,6,1,53,0,0,0,5,188,56,15,4,33,44,0.235,2.15
arredjo01,2008,1,LAA,AL,10,2,52,0,0,0,0,183,42,11,3,22,55,0.19,1.62
arredjo01,2012,1,CIN,NL,6,2,66,0,0,0,1,183,50,20,7,34,62,0.225,2.95
arrieja01,2014,1,CHN,NL,10,5,25,25,1,1,0,470,114,44,5,41,167,0.203,2.53
arrieja01,2015,1,CHN,NL,22,6,33,33,4,3,0,687,150,45,10,48,236,0.185,1.77
arroybr01,2003,1,BOS,AL,0,0,6,0,0,0,1,52,10,4,0,4,14,0.164,2.08
arroylu01,1960,1,NYA,AL,5,1,29,0,0,0,7,122,30,13,2,22,29,0.2,2.88
arroylu01,1961,1,NYA,AL,15,5,65,0,0,0,29,357,83,29,5,49,87,0.19,2.19
ashbyan01,1995,1,SDN,NL,12,10,31,31,2,2,0,578,180,63,17,62,150,0.253,2.94
assenpa01,1986,1,ATL,NL,7,3,61,0,0,0,7,205,61,19,5,26,56,0.241,2.5
assenpa01,1990,1,CHN,NL,7,2,74,1,0,0,10,309,90,32,10,36,95,0.239,2.8
assenpa01,1995,1,CLE,AL,6,2,47,0,0,0,0,115,32,12,3,12,40,0.225,2.82
assenpa01,1997,1,CLE,AL,5,0,75,0,0,0,4,147,43,16,5,15,53,0.231,2.94
astacpe01,1992,1,LAN,NL,5,5,11,11,4,4,0,246,80,18,1,20,43,0.255,1.98
